#Species	Wavelength_Ang	EP_eV	log gf	
V I	15924.822	2.136	-1.200	
Fe I	15934.020	6.310	-0.430	
Ti I	16635.160	2.350	-1.582	
Fe I	16661.390	6.340	-0.070	
Ni I	16673.710	6.040	0.100	
Co I	16757.640	3.410	-1.310	
Ti I	17376.577	4.489	0.747	
Fe I	17420.880	3.882	-2.880	
Fe I	17433.635	6.411	0.030	
Si I	20917.151	6.727	0.575	
Si I	20926.149	6.727	-1.074	
Fe I	20991.037	4.143	-2.684	
Si I	21779.660	6.718	0.420	
Ti I	21782.940	1.749	-1.160	
Si I	21819.671	6.721	0.170	
Si I	21879.324	6.721	0.410	
Fe I	21894.996	6.144	-0.360	
Ti I	21897.370	1.739	-1.450	
Ti I	22004.500	1.730	-1.910	
Sc I	22051.985	1.448	-0.840	
Na I	22056.400	3.191	0.290	
Si I	22062.710	6.727	0.540	
Sc I	22065.306	1.439	-0.830	
Fe I	22079.852	5.849	-1.400	
Na I	22083.662	3.191	-0.013	
Ti I	22211.238	1.734	-1.780	
Ti I	22232.858	1.739	-1.690	
Fe I	22257.107	5.064	-0.710	
Fe I	22260.179	5.086	-0.941	
Ti I	22274.027	1.749	-1.790	
Ti I	22310.617	1.733	-2.071	
Ti I	22443.925	1.739	-2.370	
